Nome;Nome Completo;Criado em;Atualizado em;Linguagem Principal;Qtd PRs Válidos
HowToCook;Anduin2017/HowToCook;2020-02-29T10:43:49Z;2025-04-27T21:01:22Z;Dockerfile;0
whisper;openai/whisper;2022-09-16T20:02:54Z;2025-04-27T21:08:57Z;Python;0
laravel;laravel/laravel;2011-06-08T03:06:08Z;2025-04-27T20:26:51Z;Blade;0
generative-ai-for-beginners;microsoft/generative-ai-for-beginners;2023-06-19T16:28:59Z;2025-04-27T21:44:49Z;Jupyter Notebook;0
hugo;gohugoio/hugo;2013-07-04T15:26:26Z;2025-04-27T21:53:09Z;Go;0
mall;macrozheng/mall;2018-04-04T01:11:44Z;2025-04-27T15:19:44Z;Java;0
llama.cpp;ggml-org/llama.cpp;2023-03-10T18:58:00Z;2025-04-27T21:50:26Z;C++;0
FiraCode;tonsky/FiraCode;2014-11-11T19:32:38Z;2025-04-27T20:39:31Z;Clojure;0
v2rayN;2dust/v2rayN;2019-07-30T03:47:24Z;2025-04-27T21:48:42Z;C#;0
mermaid;mermaid-js/mermaid;2014-11-01T23:52:32Z;2025-04-27T21:33:18Z;TypeScript;0
core;home-assistant/core;2013-09-17T07:29:48Z;2025-04-27T21:50:50Z;Python;0
bun;oven-sh/bun;2021-04-14T00:48:17Z;2025-04-27T16:25:30Z;Zig;0
advanced-java;doocs/advanced-java;2018-10-06T11:38:30Z;2025-04-27T19:42:35Z;Java;0
models;tensorflow/models;2016-02-05T01:15:20Z;2025-04-27T19:53:12Z;Python;0
manim;3b1b/manim;2015-03-22T18:50:58Z;2025-04-27T20:45:36Z;Python;0
spring-boot;spring-projects/spring-boot;2012-10-19T15:02:57Z;2025-04-27T19:15:32Z;Java;0
ComfyUI;comfyanonymous/ComfyUI;2023-01-17T03:15:56Z;2025-04-27T21:23:01Z;Python;0
Font-Awesome;FortAwesome/Font-Awesome;2012-02-17T14:19:43Z;2025-04-27T21:19:50Z;JavaScript;0
devops-exercises;bregman-arie/devops-exercises;2019-10-03T17:31:21Z;2025-04-27T21:53:35Z;Python;0
awesome-interview-questions;DopplerHQ/awesome-interview-questions;2015-11-28T09:48:17Z;2025-04-27T21:14:15Z;N/A;0
netdata;netdata/netdata;2013-06-17T18:39:10Z;2025-04-27T20:21:22Z;C;0
json-server;typicode/json-server;2013-11-27T13:21:13Z;2025-04-27T19:14:44Z;JavaScript;0
awesome-for-beginners;MunGell/awesome-for-beginners;2015-10-24T19:53:36Z;2025-04-27T21:09:17Z;N/A;0
gpt4all;nomic-ai/gpt4all;2023-03-27T18:49:32Z;2025-04-27T17:27:59Z;C++;0
awesome-vue;vuejs/awesome-vue;2015-10-20T00:16:14Z;2025-04-27T17:53:20Z;N/A;0
github-readme-stats;anuraghazra/github-readme-stats;2020-07-09T10:34:22Z;2025-04-27T21:05:05Z;JavaScript;0
elasticsearch;elastic/elasticsearch;2010-02-08T13:20:56Z;2025-04-27T14:10:52Z;Java;0
vite;vitejs/vite;2020-04-21T05:03:57Z;2025-04-27T21:27:23Z;TypeScript;0
playwright;microsoft/playwright;2019-11-15T18:32:42Z;2025-04-27T21:05:21Z;TypeScript;0
ML-For-Beginners;microsoft/ML-For-Beginners;2021-03-03T01:34:05Z;2025-04-27T20:51:43Z;HTML;0
hoppscotch;hoppscotch/hoppscotch;2019-08-21T13:15:24Z;2025-04-27T19:05:24Z;TypeScript;0
code-server;coder/code-server;2019-02-27T16:50:41Z;2025-04-27T21:21:12Z;TypeScript;0
nest;nestjs/nest;2017-02-04T20:12:52Z;2025-04-27T14:20:10Z;TypeScript;0
Front-End-Checklist;thedaviddias/Front-End-Checklist;2017-10-16T10:12:36Z;2025-04-27T17:45:23Z;N/A;0
fzf;junegunn/fzf;2013-10-23T16:04:23Z;2025-04-27T21:48:09Z;Go;0
syncthing;syncthing/syncthing;2013-11-26T09:48:21Z;2025-04-27T20:10:53Z;Go;0
moby;moby/moby;2013-01-18T18:10:57Z;2025-04-27T21:07:16Z;Go;0
flask;pallets/flask;2010-04-06T11:11:59Z;2025-04-27T19:58:32Z;Python;0
redis;redis/redis;2009-03-21T22:32:25Z;2025-04-27T21:11:51Z;C;0
d2l-zh;d2l-ai/d2l-zh;2017-08-23T04:40:24Z;2025-04-27T20:15:39Z;Python;0
reveal.js;hakimel/reveal.js;2011-06-07T18:54:22Z;2025-04-27T17:54:41Z;JavaScript;0
cs-video-courses;Developer-Y/cs-video-courses;2016-10-21T17:02:11Z;2025-04-27T20:11:51Z;N/A;0
swift;swiftlang/swift;2015-10-23T21:15:07Z;2025-04-27T21:35:17Z;C++;0
node;base/node;2023-02-01T13:55:02Z;2025-04-27T07:09:54Z;Shell;0
gpt_academic;binary-husky/gpt_academic;2023-03-20T09:05:13Z;2025-04-27T15:46:42Z;Python;0
awesome-machine-learning;josephmisiti/awesome-machine-learning;2014-07-15T19:11:19Z;2025-04-27T19:46:26Z;Python;0
uptime-kuma;louislam/uptime-kuma;2021-07-03T01:02:42Z;2025-04-27T21:16:22Z;JavaScript;0
awesome-react;enaqx/awesome-react;2014-08-06T05:31:44Z;2025-04-27T20:33:51Z;N/A;0
grafana;grafana/grafana;2013-12-11T15:59:56Z;2025-04-27T19:32:30Z;TypeScript;0
protobuf;protocolbuffers/protobuf;2014-08-26T15:52:15Z;2025-04-27T19:11:53Z;C++;0
express;expressjs/express;2009-06-26T18:56:01Z;2025-04-27T21:19:39Z;JavaScript;0
Best-websites-a-programmer-should-visit;sdmg15/Best-websites-a-programmer-should-visit;2017-03-05T20:25:17Z;2025-04-27T18:04:18Z;N/A;0
cpython;python/cpython;2017-02-10T19:23:51Z;2025-04-27T21:56:08Z;Python;0
tesseract;tesseract-ocr/tesseract;2014-08-12T18:04:59Z;2025-04-27T21:41:38Z;C++;0
strapi;strapi/strapi;2015-09-30T15:34:48Z;2025-04-27T20:24:59Z;TypeScript;0
Ventoy;ventoy/Ventoy;2020-03-10T15:19:19Z;2025-04-27T21:11:36Z;C;0
superset;apache/superset;2015-07-21T18:55:34Z;2025-04-27T21:26:59Z;Jupyter Notebook;0
Chart.js;chartjs/Chart.js;2013-03-17T23:56:36Z;2025-04-27T20:24:04Z;JavaScript;0
webpack;webpack/webpack;2012-03-10T10:08:14Z;2025-04-27T19:08:04Z;JavaScript;0
33-js-concepts;leonardomso/33-js-concepts;2018-09-04T13:27:04Z;2025-04-27T20:23:13Z;JavaScript;0
imgui;ocornut/imgui;2014-07-21T14:29:47Z;2025-04-27T21:42:13Z;C++;0
PayloadsAllTheThings;swisskyrepo/PayloadsAllTheThings;2016-10-18T07:29:07Z;2025-04-27T21:31:24Z;Python;0
ansible;ansible/ansible;2012-03-06T14:58:02Z;2025-04-27T19:31:50Z;Python;0
immich;immich-app/immich;2022-02-03T15:56:27Z;2025-04-27T21:56:29Z;TypeScript;0
gpt4free;xtekky/gpt4free;2023-03-29T17:00:43Z;2025-04-27T21:37:05Z;Python;0
sherlock;sherlock-project/sherlock;2018-12-24T14:30:48Z;2025-04-27T21:36:41Z;Python;0
caddy;caddyserver/caddy;2015-01-13T19:45:03Z;2025-04-27T21:30:22Z;Go;0
javascript-questions;lydiahallie/javascript-questions;2019-06-12T08:26:27Z;2025-04-27T21:09:22Z;N/A;0
obs-studio;obsproject/obs-studio;2013-10-01T02:40:31Z;2025-04-27T18:42:42Z;C;0
openai-cookbook;openai/openai-cookbook;2022-03-11T02:08:53Z;2025-04-27T21:50:16Z;MDX;0
tabby;Eugeny/tabby;2016-12-23T09:06:10Z;2025-04-27T18:42:43Z;TypeScript;0
